id_achat,date_achat,id_produit,quantité,id_fournisseur,prix_unitaire,délai_livraison_jours,montant_total,mois,année,jour_semaine
PO000001,2024-03-22,P00627,150,S029,129.62,14,19443.0,3,2024,4
PO000002,2024-06-12,P00469,50,S028,110.81,8,5540.5,6,2024,2
PO000003,2024-01-19,P00849,75,S001,140.58,8,10543.500000000002,1,2024,4
PO000004,2024-11-20,P00484,500,S028,120.77,9,60385.0,11,2024,2
PO000005,2a024-06-07,P00196,50,S025,256.05,13,12802.5,6,2024,4
PO000006,2024-03-21,P00013,50,S029,90.66,12,4533.0,3,2024,3
PO000007,2024-01-27,P00775,100,S029,151.01,9,15101.0,1,2024,5
PO000008,2024-07-13,P00876,200,S028,299.85,8,59970.00000000001,7,2024,5
PO000009,2024-10-18,P00631,25,S018,194.49,9,4862.25,10,2024,4
PO000010,2024-08-29,P00519,100,S008,290.86,10,29086.0,8,2024,3
PO000011,2024-09-24,P00274,200,S028,132.94,11,26588.0,9,2024,1
PO000012,2024-01-28,P00752,50,S008,103.28,3,5164.0,1,2024,6
PO000013,2024-02-12,P00963,50,S008,81.21,4,4060.4999999999995,2,2024,0
PO000014,2024-07-14,P00509,100,S028,233.21,2,23321.0,7,2024,6
PO000015,2024-11-07,P00380,25,S036,132.32,8,3308.0,11,2024,3
PO000016,2024-06-20,P00870,50,S010,176.8,2,8840.0,6,2024,3
PO000017,2024-05-15,P00989,200,S008,126.68,3,25336.0,5,2024,2
PO000018,2024-11-24,P00209,75,S010,79.69,14,5976.75,11,2024,6
PO000019,2024-05-07,P00695,10,S012,34.53,5,345.3,5,2024,1
PO000020,2024-12-22,P00597,50,S008,134.66,6,6733.0,12,2024,6
PO000021,2024-12-07,P00960,100,S029,222.78,13,22278.0,12,2024,5
PO000022,2024-06-13,P00917,75,S029,218.21,13,16365.75,6,2024,3
PO000023,2024-01-25,P00023,100,S029,169.34,4,16934.0,1,2024,3
PO000024,2024-06-23,P00583,150,S048,50.24,8,7536.0,6,2024,6
PO000025,2024-04-29,P00754,75,S008,21.85,4,1638.75,4,2024,0
PO000026,2024-06-16,P00977,500,S008,296.62,4,148310.0,6,2024,6
PO000027,2024-04-19,P00875,200,S048,132.76,5,26552.0,4,2024,4
PO000028,2024-05-20,P00685,10,S008,54.98,7,549.8,5,2024,0
PO000029,2024-07-22,P00911,50,S008,141.07,12,7053.5,7,2024,0
PO000030,2024-07-03,P00624,50,S012,17.74,14,886.9999999999999,7,2024,2
PO000031,2024-01-02,P00652,25,S029,96.73,5,2418.25,1,2024,1
PO000032,2024-07-04,P00826,50,S028,212.35,3,10617.5,7,2024,3
PO000033,2024-02-03,P00488,50,S029,61.93,12,3096.5,2,2024,5
PO000034,2024-09-25,P00075,10,S008,58.04,11,580.4,9,2024,2
