id_commande,id_produit,date_retour,motif,mois
O026807,P00184,2024-09-12,Client insatisfait,2024-09
O008302,P00063,2024-12-15,Livraison incomplète,2024-12
O045235,P00158,2024-04-12,Livraison incomplète,2024-04
O001001,P00136,2024-11-18,Livraison incomplète,2024-11
O005871,P00258,2024-11-29,Mauvaise référence,2024-11
O034289,P00952,2024-09-26,Livraison incomplète,2024-09
O049182,P00510,2024-01-31,Produit abîmé,2024-01
O047652,P00143,2024-12-07,Produit abîmé,2024-12
O034617,P00037,2024-12-24,Mauvaise référence,2024-12
O044580,P00175,2025-01-17,Livraison incomplète,2025-01
O036151,P00414,2024-08-10,Produit abîmé,2024-08
O049616,P00250,2024-02-21,Livraison incomplète,2024-02
O046082,P00014,2024-12-31,Client insatisfait,2024-12
O039217,P00881,2024-01-31,Client insatisfait,2024-01
O027720,P00710,2025-01-06,Livraison incomplète,2025-01
O008204,P00615,2024-02-18,Livraison incomplète,2024-02
O017119,P00895,2024-02-07,Livraison incomplète,2024-02
O049905,P00175,2024-12-23,Client insatisfait,2024-12
O048067,P00906,2024-10-28,Produit abîmé,2024-10
O048024,P00536,2025-01-17,Client insatisfait,2025-01
O031890,P00008,2024-12-16,Livraison incomplète,2024-12
O049038,P00612,2024-05-24,Mauvaise référence,2024-05
O031460,P00037,2024-03-06,Produit abîmé,2024-03
O046063,P00876,2024-04-12,Mauvaise référence,2024-04
O009851,P00470,2024-10-22,Client insatisfait,2024-10
O019027,P00971,2024-04-19,Produit abîmé,2024-04
O019448,P00182,2024-03-19,Produit abîmé,2024-03
O019386,P00080,2024-09-21,Mauvaise référence,2024-09
O032590,P00948,2025-01-07,Mauvaise référence,2025-01
O045125,P00093,2025-01-04,Mauvaise référence,2025-01
O018135,P00506,2024-05-28,Mauvaise référence,2024-05
O018344,P00738,2024-12-30,Produit abîmé,2024-12
O039623,P00658,2024-11-28,Client insatisfait,2024-11
O018854,P00175,2025-01-05,Mauvaise référence,2025-01
O026046,P00135,2025-01-01,Livraison incomplète,2025-01
O007615,P00121,2024-02-12,Produit abîmé,2024-02
O026331,P00467,2024-05-18,Mauvaise référence,2024-05
O041383,P00222,2024-03-30,Livraison incomplète,2024-03
O013077,P00515,2024-06-03,Client insatisfait,2024-06
O043823,P00931,2024-01-30,Client insatisfait,2024-01
O035483,P00612,2024-03-23,Mauvaise référence,2024-03
O043367,P00233,2024-04-17,Livraison incomplète,2024-04
O017699,P00220,2024-05-01,Mauvaise référence,2024-05
O011966,P00470,2025-01-09,Produit abîmé,2025-01
O017205,P00742,2024-10-23,Produit abîmé,2024-10
O006807,P00012,2024-10-27,Produit abîmé,2024-10
O004182,P00921,2025-01-01,Mauvaise référence,2025-01
O016098,P00009,2025-01-03,Mauvaise référence,2025-01
O013211,P00742,2024-11-07,Mauvaise référence,2024-11
O015759,P00014,2025-01-10,Client insatisfait,2025-01
O005509,P00226,2024-12-09,Client insatisfait,2024-12
O033144,P00654,2024-10-23,Livraison incomplète,2024-10
O005479,P00250,2024-09-03,Mauvaise référence,2024-09
O047172,P00516,2024-05-05,Produit abîmé,2024-05
O013507,P00604,2024-12-01,Produit abîmé,2024-12
O009836,P00305,2024-10-26,Mauvaise référence,2024-10
O010878,P00604,2025-01-18,Livraison incomplète,2025-01
O029872,P00603,2025-01-17,Produit abîmé,2025-01
O033984,P00612,2024-05-17,Livraison incomplète,2024-05
O030155,P00886,2024-01-25,Mauvaise référence,2024-01
O046471,P00330,2024-09-29,Client insatisfait,2024-09
O025736,P00506,2024-11-05,Produit abîmé,2024-11
O006720,P00106,2024-12-24,Livraison incomplète,2024-12
O009415,P00136,2024-12-20,Client insatisfait,2024-12
O021286,P00212,2024-11-09,Livraison incomplète,2024-11
O041310,P00336,2024-12-12,Client insatisfait,2024-12
O023338,P00002,2024-02-18,Mauvaise référence,2024-02
O032444,P00810,2025-01-19,Client insatisfait,2025-01
O025641,P00106,2024-03-16,Produit abîmé,2024-03
O034981,P00355,2024-04-07,Mauvaise référence,2024-04
O038949,P00032,2024-07-12,Mauvaise référence,2024-07
O015696,P00886,2024-11-02,Produit abîmé,2024-11
O009551,P00535,2024-12-31,Client insatisfait,2024-12
O044794,P00963,2024-01-26,Mauvaise référence,2024-01
O032620,P00452,2024-12-25,Mauvaise référence,2024-12
O035073,P00604,2024-03-14,Mauvaise référence,2024-03
O001527,P00449,2024-11-30,Livraison incomplète,2024-11
O026542,P00012,2025-01-02,Produit abîmé,2025-01
