id_achat,date_achat,id_produit,quantité,id_fournisseur,prix_unitaire,délai_livraison_jours,montant_total,mois,année,jour_semaine,catégorie,marque,prix,stock_minimum,nom_fournisseur,ville,pays,fiabilité,délai_moyen_jours,niveau_stock,entrepot
PO000001,2024-03-22,P00627,150,S029,129.62,14,19443.0,3,2024,4,Soins capillaires,Atelier Minéral,39.95,18,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,289,Paris
PO000002,2024-06-12,P00469,50,S028,110.81,8,5540.5,6,2024,2,Soins de la peau,Reflet d'or,25.58,18,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,80,Paris
PO000003,2024-01-19,P00849,75,S001,140.58,8,10543.500000000002,1,2024,4,Soins de la peau,Ãveil Ãlégant,62.78,83,Lecomte et Fils,Zurich,Suisse,0.84,10,54,Marseille
PO000004,2024-11-20,P00484,500,S028,120.77,9,60385.0,11,2024,2,Accessoires,Reflet d'or,259.47,39,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,249,Marseille
PO000005,2a024-06-07,P00196,50,S025,256.05,13,12802.5,6,2024,4,Maquillage,Luxe eclat,353.45,33,Techer SA,Varsovie,Pologne,0.92,12,119,Paris
PO000006,2024-03-21,P00013,50,S029,90.66,12,4533.0,3,2024,3,Accessoires,Essentielle Paris,236.4,61,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,219,Lyon
PO000007,2024-01-27,P00775,100,S029,151.01,9,15101.0,1,2024,5,Parfums,Héritage Sensuel,301.57,86,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,114,Paris
PO000008,2024-07-13,P00876,200,S028,299.85,8,59970.00000000001,7,2024,5,Soins capillaires,Clarté Botanique,441.43,35,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,292,Paris
PO000009,2024-10-18,P00631,25,S018,194.49,9,4862.25,10,2024,4,Accessoires,Maison Vitalis,22.37,97,Guérin,Copenhague,Danemark,0.92,11,273,Lyon
PO000010,2024-08-29,P00519,100,S008,290.86,10,29086.0,8,2024,3,Accessoires,Le Bain Royal,237.11,79,Gaillard S.A.,Berlin,Allemagne,0.64,7,8,Paris
PO000011,2024-09-24,P00274,200,S028,132.94,11,26588.0,9,2024,1,Soins capillaires,Reflet d'or,157.87,95,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,160,Marseille
PO000012,2024-01-28,P00752,50,S008,103.28,3,5164.0,1,2024,6,Soins capillaires,Atelier Minéral,284.11,93,Gaillard S.A.,Berlin,Allemagne,0.64,7,102,Lyon
PO000013,2024-02-12,P00963,50,S008,81.21,4,4060.5,2,2024,0,Parfums,Beauté Origine,72.67,84,Gaillard S.A.,Berlin,Allemagne,0.64,7,112,Paris
PO000014,2024-07-14,P00509,100,S028,233.21,2,23321.0,7,2024,6,Accessoires,Ligne LumiÃ¨re,360.35,44,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,54,Lyon
PO000015,2024-11-07,P00380,25,S036,132.32,8,3308.0,11,2024,3,Accessoires,Elixir Haute Beauté,279.19,95,Moreau Dubois S.A.S.,Stockholm,Suède,0.97,10,85,Lyon
PO000016,2024-06-20,P00870,50,S010,176.8,2,8840.0,6,2024,3,Soins capillaires,Sérum de Lune,428.68,97,Pelletier,Paris,France,0.98,3,29,Paris
PO000017,2024-05-15,P00989,200,S008,126.68,3,25336.0,5,2024,2,Maquillage,Orchidée Noire,336.49,28,Gaillard S.A.,Berlin,Allemagne,0.64,7,179,Lyon
PO000018,2024-11-24,P00209,75,S010,79.69,14,5976.75,11,2024,6,Soins capillaires,Reflet d'or,407.15,56,Pelletier,Paris,France,0.98,3,160,Paris
PO000019,2024-05-07,P00695,10,S012,34.53,5,345.3,5,2024,1,Soins de la peau,Sérum de Lune,134.02,58,Lucas,Stockholm,Suède,1.0,11,125,Paris
PO000020,2024-12-22,P00597,50,S008,134.66,6,6733.0,12,2024,6,Accessoires,Infusion Précieuse,101.48,62,Gaillard S.A.,Berlin,Allemagne,0.64,7,280,Paris
PO000021,2024-12-07,P00960,100,S029,222.78,13,22278.0,12,2024,5,Soins de la peau,Soin Absolu,404.74,61,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,31,Marseille
PO000022,2024-06-13,P00917,75,S029,218.21,13,16365.75,6,2024,3,Maquillage,Secret de Peau,394.77,30,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,236,Lyon
PO000023,2024-01-25,P00023,100,S029,169.34,4,16934.0,1,2024,3,Soins capillaires,Essentielle Paris,46.29,73,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,298,Lyon
PO000024,2024-06-23,P00583,150,S048,50.24,8,7536.0,6,2024,6,Soins de la peau,Ãpure d'Azur,192.43,47,Lecomte,Amsterdam,Pays-Bas,0.65,4,23,Paris
PO000025,2024-04-29,P00754,75,S008,21.85,4,1638.75,4,2024,0,Maquillage,Natura Solaire,323.91,27,Gaillard S.A.,Berlin,Allemagne,0.64,7,45,Lyon
PO000026,2024-06-16,P00977,500,S008,296.62,4,148310.0,6,2024,6,Accessoires,Atelier Minéral,448.2,60,Gaillard S.A.,Berlin,Allemagne,0.64,7,45,Marseille
PO000027,2024-04-19,P00875,200,S048,132.76,5,26552.0,4,2024,4,Soins de la peau,Héritage Sensuel,202.7,13,Lecomte,Amsterdam,Pays-Bas,0.65,4,124,Lyon
PO000028,2024-05-20,P00685,10,S008,54.98,7,549.8,5,2024,0,Maquillage,Soin Absolu,412.56,66,Gaillard S.A.,Berlin,Allemagne,0.64,7,71,Paris
PO000029,2024-07-22,P00911,50,S008,141.07,12,7053.5,7,2024,0,Soins capillaires,Cosmétika,327.6,12,Gaillard S.A.,Berlin,Allemagne,0.64,7,16,Paris
PO000030,2024-07-03,P00624,50,S012,17.74,14,886.9999999999999,7,2024,2,Soins capillaires,Ãveil Ãlégant,468.26,42,Lucas,Stockholm,Suède,1.0,11,267,Paris
PO000031,2024-01-02,P00652,25,S029,96.73,5,2418.25,1,2024,1,Parfums,Atelier Minéral,422.3,38,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,152,Paris
PO000032,2024-07-04,P00826,50,S028,212.35,3,10617.5,7,2024,3,Accessoires,Clarté Botanique,48.87,72,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,8,Paris
PO000033,2024-02-03,P00488,50,S029,61.93,12,3096.5,2,2024,5,Maquillage,Essentielle Paris,24.69,99,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,100,Paris
PO000034,2024-09-25,P00075,10,S008,58.04,11,580.4,9,2024,2,Accessoires,Elixir Haute Beauté,199.19,21,Gaillard S.A.,Berlin,Allemagne,0.64,7,4,Lyon
PO000035,2024-09-28,P00492,25,S029,103.61,8,2590.25,9,2024,5,Accessoires,Maison Pure,188.3,44,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,268,Paris
PO000036,2024-10-11,P00492,10,S028,109.27,4,1092.7,10,2024,4,Accessoires,Maison Pure,188.3,44,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,268,Paris
PO000037,2024-06-23,P00712,10,S008,231.74,2,2317.4,6,2024,6,Accessoires,Jardin dâIvoire,276.13,50,Gaillard S.A.,Berlin,Allemagne,0.64,7,283,Paris
PO000038,2024-05-28,P00628,75,S028,225.36,2,16902.0,5,2024,1,Parfums,Silhouette Paris,91.2,77,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,143,Paris
PO000039,2024-07-27,P00067,50,S048,45.95,12,2297.5,7,2024,5,Parfums,Maison Pure,271.71,94,Lecomte,Amsterdam,Pays-Bas,0.65,4,142,Paris
PO000040,2024-01-12,P00777,300,S012,188.66,2,56598.0,1,2024,4,Parfums,Atelier Minéral,373.7,23,Lucas,Stockholm,Suède,1.0,11,80,Lyon
PO000041,2024-06-01,P00178,25,S029,286.95,14,7173.75,6,2024,5,Soins de la peau,Essentielle Paris,123.17,97,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,240,Lyon
PO000042,2024-08-07,P00414,300,S012,247.82,14,74346.0,8,2024,2,Soins capillaires,Reflet d'or,498.62,45,Lucas,Stockholm,Suède,1.0,11,47,Paris
PO000043,2024-01-20,P00720,10,S029,116.34,4,1163.4,1,2024,5,Parfums,Sérum de Lune,23.63,50,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,200,Marseille
PO000044,2024-01-09,P00909,100,S007,85.54,13,8554.0,1,2024,1,Soins de la peau,Ligne LumiÃ¨re,230.97,96,Carlier,Prague,République tchèque,0.9,9,56,Lyon
PO000045,2024-07-13,P00751,25,S028,273.45,12,6836.25,7,2024,5,Soins capillaires,Clarté Botanique,406.88,56,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,120,Paris
PO000046,2024-11-26,P00271,150,S048,223.16,7,33474.0,11,2024,1,Maquillage,Luxe eclat,134.61,39,Lecomte,Amsterdam,Pays-Bas,0.65,4,52,Marseille
PO000047,2024-05-28,P00118,10,S044,119.89,10,1198.9,5,2024,1,Maquillage,Essentielle Paris,216.52,17,Lopes,Amsterdam,Pays-Bas,0.85,9,264,Lyon
PO000048,2024-01-05,P00200,300,S028,289.17,2,86751.0,1,2024,4,Soins capillaires,Elixir Haute Beauté,63.96,40,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,242,Paris
PO000049,2024-10-21,P00449,10,S047,235.06,6,2350.6,10,2024,0,Soins de la peau,Reflet d'or,385.29,10,Duhamel,Berlin,Allemagne,0.7,10,33,Paris
PO000050,2024-08-18,P00113,25,S029,125.22,7,3130.5,8,2024,6,Accessoires,Essentielle Paris,144.52,32,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,92,Marseille
PO000051,2024-05-13,P00708,75,S029,11.13,14,834.7500000000001,5,2024,0,Maquillage,Ãpure d'Azur,183.8,18,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,202,Lyon
PO000052,2024-05-07,P00241,150,S021,159.8,11,23970.0,5,2024,1,Maquillage,Luxe eclat,183.14,78,Petitjean Andre SA,Oslo,Norvège,0.88,3,219,Lyon
PO000053,2024-09-14,P00253,300,S010,153.8,10,46140.0,9,2024,5,Soins capillaires,Essentielle Paris,437.65,48,Pelletier,Paris,France,0.98,3,211,Lyon
PO000054,2024-12-02,P00559,50,S008,269.7,3,13485.0,12,2024,0,Soins de la peau,Ligne LumiÃ¨re,253.6,34,Gaillard S.A.,Berlin,Allemagne,0.64,7,30,Paris
PO000055,2024-04-27,P00515,150,S002,272.78,8,40916.99999999999,4,2024,5,Soins capillaires,LâAtelier du Teint,58.46,49,Morvan,Paris,France,0.86,9,81,Paris
PO000056,2024-04-14,P00851,100,S029,57.93,7,5793.0,4,2024,6,Maquillage,Clarté Botanique,81.3,27,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,99,Paris
PO000057,2024-11-26,P00895,75,S002,206.59,14,15494.25,11,2024,1,Soins de la peau,Sérum de Lune,103.92,38,Morvan,Paris,France,0.86,9,115,Paris
PO000058,2024-11-20,P00697,100,S012,154.65,6,15465.0,11,2024,2,Soins capillaires,Infusion Précieuse,129.09,71,Lucas,Stockholm,Suède,1.0,11,278,Paris
PO000059,2024-03-15,P00697,10,S030,49.44,14,494.4,3,2024,4,Soins capillaires,Infusion Précieuse,129.09,71,Delaunay,Copenhague,Danemark,0.7,6,278,Paris
PO000060,2024-06-06,P00640,50,S010,142.83,11,7141.500000000001,6,2024,3,Accessoires,LâAtelier du Teint,34.39,85,Pelletier,Paris,France,0.98,3,73,Paris
PO000061,2024-12-27,P00707,150,S002,112.94,6,16941.0,12,2024,4,Accessoires,Aroma Sublime,32.31,63,Morvan,Paris,France,0.86,9,178,Paris
PO000062,2024-06-22,P00392,75,S045,296.7,8,22252.5,6,2024,5,Accessoires,Maison Pure,52.56,75,Lagarde,Berlin,Allemagne,0.53,4,44,Paris
PO000063,2024-02-29,P00170,200,S028,37.29,3,7458.0,2,2024,3,Soins capillaires,Elixir Haute Beauté,190.72,66,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,141,Paris
PO000064,2024-03-01,P00915,150,S012,127.07,10,19060.5,3,2024,4,Soins capillaires,LâAtelier du Teint,92.97,94,Lucas,Stockholm,Suède,1.0,11,261,Paris
